#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
,,,,,,,,,,,,
,,,,,,,,,,,,
KIDS  BURRITO,,,,,,,,,,,,
SIDE SALAD,,,,,,,,,,,,
Greens,,,,,,,,,,,,
Spring Mix,1,5,0,0,0,0,0,10,1,1,1,0
Lettuce,1,4,0,0,0,0,0,3,1,0,1,0
Tomatoes,1,5,1,0,0,0,0,1,1,0,1,0
Salad Dressing – choice of:,,,,,,,,,,,,
Tomatillo,1 fl oz,21,15,2,0,0,0,91,1,0,1,0
Ancho,1 fl oz,155,150,17,1,0,0,132,2,0,0,0
Ranch,1 fl oz,130,120,14,2,0,10,260,2,0,1,0
Vinaigrette,1 fl oz,23,0,0,0,0,0,125,5,0,5,0
,,,,,,,,,,,,
,,,,,,,,,,,,
FREEBIES AND SAUCES,,,,,,,,,,,,
Pico de Gallo,1,6,0,0,0,0,0,147,1,0,1,0
Tomatoes,1,5,1,0,0,0,0,1,1,0,1,0
White Onions,1,11,0,0,0,0,0,1,3,0,1,0
Red Onions,1,11,0,0,0,0,0,1,3,0,1,0
Fresh Jalapeños,1,8,1,0,0,0,0,1,2,1,1,0
Grilled Jalapeño,1 ea,4,1,0,0,0,0,0,1,0,1,0
Cilantro,1,7,1,0,0,0,0,13,1,1,0,1
Fresh Lettuce,1,4,0,0,0,0,0,3,1,0,1,0
Mixed Greens,1,5,0,0,0,0,0,10,1,1,1,0
Roasted Veggies,1,15,7,1,0,0,0,157,2,0,1,0
Roasted Garlic,1,48,7,1,0,0,0,5,9,1,0,2
Tortilla Strips,0.2,9,4,0,0,0,0,4,1,0,0,0
Corn Salsa,1 fl oz,14,0,0,0,0,0,61,3,0,1,1
Poblano Salsa,1 fl oz,40,0,1,0,0,0,64,8,3,1,2
Fresh Lime Juice,1 fl oz,6,0,0,0,0,0,5,2,0,0,0
Fresh Salsa,1 fl oz,7,0,0,0,0,0,246,2,0,1,0
Bad *ss BBQ Sauce,1 fl oz,71,5,5,1,0,0,235,6,0,4,0
Mild Tomatillo Sauce,1 fl oz,6,0,0,0,0,0,89,1,0,1,0
Hot Tomatillo Sauce,1 fl oz,6,0,0,0,0,0,85,1,0,1,0
Death Sauce,1 fl oz,9,0,0,0,0,0,59,1,0,0,0
Green Sauce,1 fl oz,10,0,0,0,0,0,130,1,0,1,0
Habenero Sauce,1 fl oz,7,0,0,0,0,0,60,1,0,1,0
,,,,,,,,,,,,
,,,,,,,,,,,,
EXTRAS,,,,,,,,,,,,
Sour Cream,2,113,85,9,7,0,38,28,2,0,2,2
Bacon,1,153,107,12,4,0,31,655,0,0,0,11
Guacamole,2,73,57,6,1,0,0,170,5,3,1,1
Queso,1,77,58,7,4,0,16,344,1,0,1,3
Avocado,2.3,102,19,2,0,0,0,1,1,1,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
"FRESH CHIPS PLUS GUAC, QUESO OR SALSA",,,,,,,,,,,,
SIDE ORDER,,,,,,,,,,,,
Chips,2.5,378,21,2,0,0,47,43,3,0,4,378
Guac,5,182,142,16,2,0,0,424,12,8,2,3
Queso,5,383,291,32,19,0,81,1718,7,1,6,16
Salsa,5,35,0,0,0,0,0,1232,8,2,4,1
,,,,,,,,,,,,
"MAKE IT A MEAL ""REV""",,,,,,,,,,,,
Chips,1.5,227,12,1,0,0,28,26,2,0,2,227
Guac,3,109,85,9,1,0,0,245,7,5,1,2
Queso,3,230,174,19,11,0,49,1031,4,0,4,10
Salsa,3,21,0,0,0,0,0,739,5,1,2,1
,,,,,,,,,,,,
,,,,,,,,,,,,
DESSERTS,,,,,,,,,,,,
Pot Brownie,1 ea,610,140,15,6,0,0,560,107,5,78,8
Chocolate Chip Cookie,1 ea,370,180,20,10,0,25,250,48,2,29,4
